peak,assignment
1628,"Ca=Ca stretch
Amide C=O stretching absorption for the b-form polypeptide films"
1634,Amide I
1635,Differences in collagen content
1637,"Amide I band
Amide I band (both a-helix and b-structure)"
1638,"Intermolecular bending mode of water
Very weak and broad n2 mode of water"
1645,Amide I (a-helix)
1647,Random coils
1650,"(C=C) Amide I
Protein amide I absorption
Amide I"
1652,Lipid (C=C stretch)
1653,Carbonyl stretch (C=O)
1654,"Due to a combination of C=C stretch & the amide I bands þ amide I
Amide I (collagen assignment)
C=C stretch
Amide I (C=O stretching mode of proteins, a-helix conformation)/C=C lipid stretch
Collagen"
1655,"Amide I (of collagen)
C=C (of lipids in normal tissues; not that of amide I)
n(C=O) amide I, a-helix, collagen
Amide I (C=O stretching mode of proteins, a-helix conformation)/C=C lipid stretch
In normal tissues: C=C of lipids (& not amide I)
C=O stretching of collagen & elastin (protein assignment)
Amide I of proteins
Amide I (collagen assignment)
Amide I (typically associated with collagen)
Amide I (a-helix)"
1656,"C=C (lipids)
Amide I (proteins)"
1656,n(C=C)cis (phospholipids)
1657,"Fatty acids
Amide I (collagen assignment)
Triglycerides (fatty acids)"
1658,Amide I (a-helix)
1659,"Amide I vibration (collagen like proteins)
Amide C=O stretching absorption for the a-folded polypeptide films
Cholesterol band (associated to atherosclerotic spectrum)"
1660,"Amide I band
Amide I
Amide I vibration mode of structural proteins
n(C=C) cis, lipids, fatty acids
C=C groups in unsaturated fatty acids
Ceramide backbone
Amide I (protein)
Lipids"
1662,"Nucleic acid modes
Nucleic acid modes indicating the nucleic acid content in tissues"
1663,"DNA
Proteins, including collagen I"
1664,Amide I
1665,"Amide I (of collagen)
Amide I
Amide I (collagen assignment)
Amide I (disordered structure-solvated)
ns(C=O)"
1666,Collagen
1667,"Protein band
C=C stretching band
a-helical structure of amide I
Structural protein modes of tumors
Carbonyl stretch (C=O)"
1669,"Carbonyl stretch (C=O)
Cholesterol ester"
1670,"Amide I
C=C stretching vibrations
Cholesterol & its esters
C=C stretching vibration mode of steroid ring
Amide I (anti-parallel b-sheet)
n(C=C) trans, lipids, fatty acids"
1672,"C=C stretch
Amide I band (C=O stretch coupled to a N-H bending)
Ceramide"
1673,Amide I
1674,"C=C stretch vibration
Cholesterol"
1676,Amide I (b-sheet)
1678,Bound & free NADH
1682,One of absorption positions for the C=O stretching vibrations of cortisone
1685,Amide I (disordered structure; non hydrogen bonded)
1697,Amide I (turns and bands)
1710,One of absorption positions for the C=O stretching vibrations of cortisone
1729,Ester group
1732,One of absorption positions for the C=O stretching vibrations of cortisone
1734,"Esters, C=O stretching (lipids)"
1736,C=O ester (lipids)
1738,Lipids
1739,Ester group
1740,Ester group
1744,"Carbonyl feature of lipid spectra
Ester group"
1745,"Phospholipids
n(C=O), phospholipids (lipid assignment)
n(C=O), phospholipids
Triglycerides (fatty acids)
n(C=O) (polysaccharides, pectin)"
1746,C=O stretch (lipid)
1747,"C=O, lipids"
1750,"C=O (lipid in normal tissues)
n(C=C) lipids, fatty acids"
1754,C=O (lipid)
1756,One of absorption positions for the C=O stretching vibrations of cortisone
2095,"C-N stretch (one of three thiocyanate peaks, with 445 & 735 $cm^{-1}$)"
2225,C;N
2343,Asymmetric stretching band of CO22 hydrates
2850,"ns CH2, lipids, fatty acids
CH2 symmetric"
2883,CH2 asymmetric stretch of lipids and proteins
2885,"ns CH3, lipids, fatty acids"
2886,Fermi resonance CH2 stretch
2900,CH stretch of lipids and proteins
2893,CH3 symmetric stretch
2900,CH stretch
2915,"CH band of lipids and proteins (the lipid band has a tendency towards higher levels of energy, such as 2855 $cm^{-1}$, while the protein band’s tendency is toward lower energy levels like 2920 $cm^{-1}$)"
2928,"Symmetric CH3 stretch
Due primarily to protein"
2933,CH2 asymmetric stretch
2935,Chain end CH3 symmetric band
2940,"C-H vibrations in lipids & proteins
nas CH2, lipids, fatty acids"
2956,CH3 asymmetric stretch
2960,Out-of-plane chain end antisymmetric CH3 stretch band
2970,"nas CH3, lipids, fatty acids
Cholecterol and cholesterol ester"
2973,Asymmetric stretching of methoxy (4)
3000,CH stretching
3008,"nas(=C-H), lipids, fatty acids"
3010,Unsaturated =CH stretch
3015,n=CH of lipids
3232,O–H & N-H stretching vibrations (hydrogen bonding network may vary in the malignant tissues)
3300,Attributed to OH stretch
3329,N-H vibration of proteins
3550,O-H stretching vibration
